iter	Passed	Remaining
1027	32075	61530
1028	32108	61501
1029	32140	61471
1030	32173	61445
1031	32203	61410
1032	32234	61379
1033	32266	61350
1034	32295	61315
1035	32325	61281
1036	32354	61244
1037	32383	61210
1038	32413	61177
1039	32446	61148
1040	32474	61112
1041	32504	61078
1042	32535	61047
1043	32567	61016
1044	32598	60985
1045	32628	60952
1046	32660	60923
1047	32693	60893
1048	32724	60863
1049	32757	60836
1050	32790	60806
1051	32820	60774
1052	32853	60745
1053	32883	60713
1054	32915	60683
1055	32948	60655
1056	32981	60628
1057	33015	60601
1058	33049	60575
1059	33082	60547
1060	33114	60518
1061	33145	60486
1062	33177	60456
1063	33210	60428
1064	33242	60398
1065	33274	60368
1066	33307	60341
1067	33340	60313
1068	33372	60283
1069	33404	60252
1070	33437	60224
1071	33470	60197
1072	33503	60169
1073	33536	60140
1074	33568	60111
1075	33600	60081
1076	33632	60051
1077	33665	60022
1078	33696	59992
1079	33728	59961
1080	33757	59927
1081	33789	59896
1082	33820	59864
1083	33851	59833
1084	33881	59799
1085	33911	59767
1086	33942	59735
1087	33974	59704
1088	34005	59673
1089	34033	59636
1090	34061	59600
1091	34091	59565
1092	34121	59533
1093	34151	59500
1094	34182	59467
1095	34212	59434
1096	34243	59402
1097	34272	59367
1098	34301	59332
1099	34331	59300
1100	34362	59267
1101	34392	59235
1102	34423	59204
1103	34454	59171
1104	34483	59136
1105	34511	59099
1106	34539	59063
1107	34569	59029
1108	34595	58990
1109	34625	58957
1110	34654	58921
1111	34685	58890
1112	34717	58860
1113	34748	58829
1114	34779	58797
1115	34808	58762
1116	34837	58727
1117	34868	58696
1118	34900	58666
1119	34931	58634
1120	34963	58604
1121	34993	58571
1122	35021	58535
1123	35049	58499
1124	35077	58462
1125	35106	58427
1126	35135	58392
1127	35162	58354
1128	35190	58317
1129	35217	58280
1130	35246	58245
1131	35275	58210
1132	35302	58173
1133	35333	58140
1134	35363	58108
1135	35393	58075
1136	35424	58043
1137	35454	58011
1138	35485	57979
1139	35516	57947
1140	35547	57916
1141	35577	57883
1142	35609	57853
1143	35639	57821
1144	35670	57789
1145	35701	57757
1146	35733	57727
1147	35763	57695
1148	35795	57664
1149	35825	57631
1150	35856	57600
1151	35886	57567
1152	35917	57537
1153	35948	57505
1154	35979	57473
1155	36010	57441
1156	36040	57410
1157	36071	57378
1158	36102	57346
1159	36133	57314
1160	36165	57285
1161	36196	57253
1162	36226	57221
1163	36256	57188
1164	36285	57152
1165	36314	57118
1166	36344	57086
1167	36374	57053
1168	36404	57020
1169	36436	56990
1170	36467	56959
1171	36498	56927
1172	36529	56896
1173	36560	56865
1174	36590	56832
1175	36621	56800
1176	36651	56768
1177	36682	56736
1178	36712	56703
1179	36744	56673
1180	36773	56639
1181	36802	56604
1182	36829	56567
1183	36858	56532
1184	36886	56496
1185	36914	56461
1186	36942	56425
1187	36970	56389
1188	36998	56353
1189	37027	56319
1190	37055	56283
1191	37085	56250
1192	37116	56218
1193	37148	56189
1194	37180	56158
1195	37211	56127
1196	37242	56097
1197	37273	56065
1198	37303	56033
1199	37335	56002
1200	37366	55971
1201	37398	55942
1202	37428	55909
1203	37458	55877
1204	37488	55843
1205	37517	55809
1206	37545	55774
1207	37577	55743
1208	37607	55711
1209	37638	55679
1210	37668	55647
1211	37699	55616
1212	37730	55584
1213	37762	55554
